31,966.59
-12,621.68
-19344.91
43,337.33
-17,381.28
-25,956.05
-17,913.11
-7,716.94
-689.17
-2,148.66
1,920.00
49,867.93
-5,745.96
-8,580.64
-22,860.45
-10,191.78
-2,821.09
27,916.78
-5,231.15
-2,021.65
7,234.80
49,863.77
-3,687.75
-9,727.80
-11,588.65
-25,776.59
31,031.49
-16,404.06
-7,211.36
-6,105.16
-2,302.26
1,908.37
35,678.67
-15,759.90
-7,295.41
-3,443.51
-9,174.96
-2,666.51
-7,151.76
9,818.27
38,795.27
46,884.93
-18,804.12
-28,080.81
-27,083.94
-11,776.65
65.32
49,673.55
-200.00
-5.00
14,566.56
-28,573.54
-11,772.64
-14,566.56
-1,327.80
29,839.41
-21,944.11
-9,358.72
41,421.56
-16,612.92
-24,808.64
36,978.44
23,484.56
1,200.00
-8,508.90
-14,975.66
-6,187.45
-17,370.96
-8,267.57
-18,204.89
5,183.59
21.97
45,670.67
-13,598.13
-6,181.34
33,693.80
-20,313.77
-13,380.03
1,040.00
-200.00
-14,843.97
-6,648.78
-4,390.99
-12,663.36
12,633.93
42,038.80
-25,178.32
-16,860.48
-21,730.13
-9,964.36
31,694.49
-4,471.16
-1,330.70
-4,305.02
-9,080.48
19,187.36
24,345.24
-11,169.44
-5,343.98
-3,291.01
-9,135.85
28,940.28
-1,418.72
-22,926.52
-4,451.45
-9,400.24
13,851.69
19,143.00
-5,512.78
-11,624.44
17,137.22
